Firma;Niederlassungen;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web
REDNET;1;142;10;2025-08-18;151608586.0;594576.0;2;Mainz;55129;ausschreibungen@rednet.ag;http://rednet.ag
DATAGROUP;14;138;11;2026-06-02;183484034.0;810514.0;0;Berlin;12059;sales-berlin@datagroup.de;https://www.datagroup.de/
BEARINGPOINT;3;134;11;2026-06-19;1366246771.0;2602000.0;10;Frankfurt am Main;60327;tender.monitoring.gsa@bearingpoint.com;http://www.bearingpoint.com
ORACLE;5;130;11;2026-06-19;223588768.0;1156111.0;0;München;80992;contact@oracle.com;
DELL;3;125;11;2026-06-09;591285148.0;1124328.0;3;Frankfurt am Main;60549;DE_PUB_Ausschreibungen@dell.com;https://www.dell.com/
INIT;2;124;11;2026-05-30;920437128.0;2296680.0;5;Berlin;10997;bidoffice@init.de;https://www.initse.com
CANON;2;123;11;2026-06-08;81060753.0;419146.0;2;Krefeld;47807;ralf.schroeder@canon.de;http://canon.de
H&G Hansen & Gieraths IT Solutions GmbH;9;122;8;2026-06-16;980713182.0;1334048.0;1;Bonn;53111;sebastian.rehagel@hug.de;http://www.hug.de
POSTCON;10;121;11;2026-05-19;637703343.0;3679671.0;2;Düsseldorf;40474;ausschreibung@postcon.de;https://www.postcon.de
CMS IT-Consulting GmbH;1;121;11;2026-05-19;346640348.0;321397.0;0;Grasbrunn;85630;vertrieb@cms-it.de;http://cms-it.de
ACCENTURE;5;117;11;2026-05-26;15705849553.0;207983193.0;8;Kronberg im Taunus;61476;ASG-HPS.Tenders@accenture.com;http://www.accenture.de
KONICAMINOLTA;6;117;11;2026-03-02;54055817.0;461259.0;0;Langenhagen;30855;tender-office@konicaminolta.de;http://www.konicaminolta.de
CAPGEMINI;4;116;10;2026-05-26;47018938098.0;395721779.0;13;Köln;50679;publicvergabeverfahren.de@capgemini.com;http://www.capgemini.com/de
KPMG;10;109;10;2026-05-26;1654276660.0;7000000.0;6;Berlin;10785;de-kpmgkfweinkauf@kpmg.com;https://kpmg.com/de/de.html
MEGWARE;4;105;11;2026-04-01;139480000.0;478040.0;0;Chemnitz-Roehrsdorf;09247;info@megware.com;https://www.megware.com/en/
Spherion Verwaltungs-GmbH;1;103;10;2026-05-18;2840533121.0;14150000.0;9;Düsseldorf;40476;buba_management@deloitte.de;http://deloitte.de
ITTLER;2;101;9;2026-06-12;86188132.0;404630.0;0;Berlin;12349;info@wittler.biz;http://www.wittler.biz
NTT Germany AG & Co. KG;9;100;8;2026-04-24;232650844.0;739234.0;1;Bad Homburg;61352;de.bid@global.ntt;https://hello.global.ntt/de-de
V-BC.de;6;96;9;2026-06-12;33517276.0;262489.0;1;Warendorf;48231;info@arno-kindler.de;http://www.arno-kindler.de
GISA;1;92;11;2026-06-24;53379531.0;827550.0;0;Halle/ Saale;06112;anke.boerner@gisa.de;http://www.gisa.de
NETGO;16;91;7;2026-06-19;47111697.0;297251.0;5;Berlin;10829;ausschreibung@netgo.de;http://www.netgo.de
SYSGEN;12;87;11;2026-06-23;38349194.0;337544.0;0;Bremen;28327;gnikisch@sysgen.de;https://www.sysgen.de
MUP Bürohandels GmbH;1;85;11;2026-05-18;108716669.0;368146.0;0;Fulda;36039;ausschreibung@mupi.de;http://mupi.de
SIEMENS;17;84;11;2026-01-29;67568234.0;357105.0;0;München;81739;frithjof.schuele@siemens.com;
P&I Personal & Informatik Aktiengesellschaft;1;81;10;2026-06-18;43689182.0;534000.0;0;Wiesbaden;65205;mskomrock@pi-ag.com;http://www.pi-ag.com
SINC;2;80;11;2026-05-19;1166706981.0;11233720.0;61;Wiesbaden;65203;info@sinc.de;https://www.sinc.de/
CONCAT;1;80;11;2026-05-28;117679357.0;546730.0;1;Bensheim;64625;info@concat.de;http://www.concat.de
D-VELOP;3;80;9;2026-06-26;33142558.0;369700.0;5;Gescher;48712;bidmanagement@d-velop.com;https://www.d-velop.de/
ALLGEIER-EXPERTS;5;79;8;2024-11-18;735244370.0;1080800.0;7;München;80807;info@allgeier-public.eu;
Alpha Computer Sales GmbH;1;79;9;2025-12-01;29253547.0;359504.0;0;Ottobrunn;85521;ausschreibung@acsgroup.de;
ARKTIS-GMBH;10;78;10;2026-06-29;919299323.0;1142877.0;1;Berlin;13581;ausschreibungen@arktis-gmbh.de;http://arktis-gmbh.de
MR-Datentechnik Vertriebs- und Service GmbH;1;77;11;2026-04-13;120494220.0;560280.0;2;Nürnberg;90411;vergabe@mr-daten.de;https://mr-daten.de
ESRI;3;76;11;2026-05-28;51221388.0;693000.0;0;Kranzberg;85402;tenders@esri.de;http://www.esri.de
EWE;1;75;10;2026-03-24;662306358.0;4625928.0;0;Oldenburg;26133;philipp.cordes@ewe.de;http://ewe.de
PROWISE;3;73;9;2026-06-16;660114757.0;543586.0;0;Köln;50667;tenderdesk@prowise.com;http://www.prowise.de
EVIDEN;6;73;6;2026-04-22;63325764.0;852489.0;3;Düsseldorf;40547;joerg.2.wehling@atos.net;https://eviden.com/
IS4IT;1;72;6;2026-02-03;30044841.0;355046.0;0;Oberhaching;82041;info@is4it.de;
AXIANS;13;71;11;2026-06-09;74979640.0;600910.0;1;Hamburg;20251;svertrieb@axians.de;https://www.axians.de/de/portfolio/security/
USU;2;71;10;2026-05-15;23861576.0;1079937.0;0;Möglingen;71696;sales-operations@usu.com;http://www.usu.de
BASIS1;1;70;10;2026-05-12;52762982.0;385278.0;0;Ottensoos;91242;postfach@basis1.com;https://www.basis1.com
NEXUS-AG;12;70;8;2026-03-27;29782456.0;1067264.0;0;Berlin;10829;sascha.lenk@nexus-ag.de;https://www.nexus-marabu.de/
1&1 Versatel Deutschland GmbH;1;69;10;2025-11-04;1174809898.0;1540900.0;17;Düsseldorf;40468;bidmanagement@1und1.net;https://www.1und1.net
DEGEN-AV;2;67;10;2026-03-03;36555147.0;333670.0;0;Nürnberg;90411;ausschreibung@degen-av.de;http://www.degen-solutions
SPIRIT21;1;67;7;2024-03-16;3975400.0;540000.0;2;Böblingen;71034;mellinger@spirit21.com;
MAGELLAN-NET;6;66;11;2026-06-22;43658500.0;658676.0;0;Köln;51147;inside-sales-aml@axians.de;https://www.axians.de/magellan
THINKRED;11;65;7;2026-06-01;53648969.0;476768.0;3;Bochum;44801;info@thinkred.de;https://thinkred.de/
pro-com Datensysteme GmbH;1;64;11;2026-03-23;138845821.0;793373.0;3;Eislingen;73354;bp@pro-com.org;https://www.pro-com.org/
CGM;11;64;8;2026-05-27;20902801.0;326251.0;0;Oberessendorf;88436;dominik.denny@cgm.com;http://www.cgm.com
ROBOTRON;2;64;11;2026-04-27;19313870.0;587106.0;1;Dresden;01189;rds@robotron.de;http://www.robotron.de
ALBACON;1;62;10;2026-06-23;45927679.0;278900.0;0;Bad Doberan;18209;kuehne@albacon.de;https://albacon.de/
WBS IT-Service GmbH;1;62;11;2026-02-02;30562921.0;430746.0;0;Leipzig;04109;ausschreibung@wbs-it.de;http://www.wbs-it.de
INAPA;1;61;6;2026-02-18;110410117.0;1369286.0;2;Ettlingen;76275;ausschreibungen.public@inapa.com;http://www.inapa.de
INTERTRONIC;4;61;11;2026-06-26;44523330.0;281486.0;0;Mainz;55120;ausschreibung@intertronic.de;
DATAVISION;1;60;11;2026-04-20;471763286.0;532381.0;1;Düsseldorf;40589;ausschreibung@datavision.net;
HYRICAN;3;60;7;2025-06-13;25731036.0;242143.0;0;Kindelbrück;99638;l.hornischer@hyrican.de;
Advanced UniByte GmbH;1;59;10;2025-12-02;46169175.0;868351.0;2;Metzingen;72555;ausschreibung@au.de;
ROHDE-SCHWARZ;5;59;11;2026-05-13;16369897.0;467215.0;2;München;81671;sales.germany@rohde-schwarz.com;http://www.rohde-schwarz.com
Hewlett-Packard GmbH;1;58;10;2026-02-18;338593136.0;854725.0;0;Ratingen;40880;joerg.kraus@hpe.com;
NEC;1;58;10;2025-12-17;170683208.0;1428571.0;0;Düsseldorf;40547;andreas.goettlicher@emea.nec.com;http://www.nec.com
PAPYRUS;1;58;7;2023-05-03;143830125.0;1400000.0;1;Ettlingen;76275;dunja.volz@papyrus.com;
STHREE;3;58;9;2026-01-30;142342155.0;3861600.0;11;Frankfurt am Main;60322;publicsector@sthree.com;https://www.sthree.com/de-de/
Care Bridge e.V.;1;57;4;2026-03-04;;;0;Bonn;53227;saskia.goetze@care-bridge.de;
SPIE;20;56;10;2026-06-24;53410460.0;418800.0;0;Georgsmarienhütte;49124;info-btat@spie.com;www.impressum@spie.com
SELECTRIC;7;55;11;2026-06-09;626225687.0;400000.0;0;Münster;48155;sds-nrw@selectric.de;https://www.selectric.de/
ARXES-TOLINA;2;55;7;2022-09-28;94122532.0;277477.0;1;Berlin;13088;susann.gratzke@arxes-tolina.de;
PDV-SACHSEN;3;55;11;2026-06-22;60832754.0;474188.0;5;Dresden;01109;info@pdv-sachsen.net;https://www.pdv-sachsen.net/
CIRCULAR;5;54;11;2026-02-02;20900321.0;336366.0;0;Stuttgart;70565;public@circular.de;http://www.circular.de
INTERFACE-SYSTEMS;1;53;11;2026-06-16;113926068.0;522200.0;3;Dresden;01277;sales@interface-systems.de;http://interface-systems.de
MR Datentechnik GmbH;4;53;11;2026-02-10;97319209.0;421220.0;2;Würzburg;97076;vergabe@mr-daten.de;http://www.mr-daten.de
ARNO-KINDLER;6;52;9;2026-04-13;10608225.0;102907.0;0;Warendorf;48231;anfragen@arno-kindler.de;
BERBERICH;1;51;11;2026-05-19;16616158.0;316902.0;2;hofheim-wallau;65719;serena.bauer@berberich.de;http://www.berberich.de
QVESTMEDIA;2;51;9;2026-06-15;15752112.0;174786.0;0;Köln;50829;tender@qvestmedia.com;https://www.qvest.com/de/
GLASFASERPLUS;8;50;4;2026-06-19;458342992.0;3656023.0;0;Köln;51063;christian.beiderbeck@telekom.de;https://glasfaserplus.de/
TRANS4MATION;2;50;8;2025-12-19;86440117.0;1546282.0;4;Dresden;01309;bidmanagement@trans4mation.de;
DELTACOMPUTER;1;50;10;2026-06-04;17774475.0;306688.0;0;Reinbek;21465;sales@delta.de;http://delta.de
VISUNEXTGROUP;8;50;7;2026-06-23;15087171.0;274562.0;1;Emsdetten;48282;tender@visunextgroup.com;http://www.visunext.de
NETCOM-BW;1;49;11;2026-04-10;1004053194.0;3663776.0;0;Ellwangen;73479;breitband@netcom-bw.de;http://netcom-bw.de
VIRTUAL7;1;49;10;2026-02-24;175822634.0;3729810.0;3;Karlsruhe;76227;sales@virtual7.de;http://virtual7.de
OPENTEXT;3;49;10;2026-06-19;8803084.0;509642.0;0;Grasbrunn;85630;thomasbb@opentext.com;https://hzd.hessen.de
Swiss IT Security Deutschland GmbH;3;48;7;2026-02-27;953483068.0;12559960.0;33;Wiesbaden;65187;ausschreibungen@sits-d.de;
Marketing Service Magdeburg KG;1;48;11;2026-05-19;99180739.0;583111.0;0;Magdeburg;39104;michael.dauksch@biberpost.de;
D-FINE;1;47;10;2026-06-23;6292859935.0;7000000.0;2;Frankfurt am Main;60313;tenders@d-fine.de;https://www.d-fine.com/
BTC Business Technology Consulting AG;1;47;10;2026-03-09;66311320.0;1933257.0;3;Oldenburg;26121;vertrieb-energie@btc-ag.com;https://www.vertrieb@btc-ag.com
ARRIVA-SERVICE;1;47;10;2026-03-23;63230640.0;931275.0;0;Singen;78224;Ausschreibung@arriva-service.de;
BFE;1;47;11;2026-05-07;24850805.0;541260.0;0;Mainz;55124;Eingang_Proab@bfe.tv;http://bfe.tv
RAIDMEDIA;3;47;11;2026-06-22;14363222.0;271430.0;0;Thalheim;09380;vertrieb@raidmedia.com;https://www.raidmedia.com
ACSGROUP;6;47;6;2026-05-18;13211745.0;249473.0;0;Ottobrunn;85521;ausschreibung@acsgroup.de;http://www.acsgroup.de
NTTDATA;3;46;10;2026-04-24;7570086906.0;22100000.0;121;BRUXELLES;1000;belgium.ecmu@nttdata.com;https://de.nttdata.com/
JURIS;1;46;10;2026-06-26;30825797.0;759219.0;0;Saarbrücken;66121;ausschreibungen@juris.de;https://www.juris.de
ALLPREMIO;1;46;7;2026-06-02;21460431.0;215000.0;1;Düsseldorf;40549;ausschreibung@allpremio.de;http://www.allpremio.de
SECUNET;3;45;10;2026-04-16;250129216.0;415520.0;2;Essen;45138;beispiel@secunet.de;
SYSTEMA-ONLINE;1;45;11;2026-06-18;65685077.0;315765.0;2;Potsdam;14482;ausschreibungen@systema-online.de;http://www.systema-online.de
PRINTION;1;45;8;2023-12-01;43071857.0;393503.0;0;Griesheim;64347;vergabe@printion.de;
IGEPAGROUP;3;45;9;2025-12-16;22253068.0;396726.0;0;Dieburg;64807;rfischer@igepagroup.com;http://www.igepa.de
BECK;3;44;8;2026-03-26;31715312.0;819738.0;1;München;80801;Rainer.Hohdorf@beck.de;www.saarland.de/
POLAVIS;9;44;4;2025-12-30;2057336.0;232276.0;0;Berlin;10117;bid.management@polavis.de;https://www.polavis.de/
MKD-KURIER;1;44;8;2026-06-22;366000.0;366000.0;0;Düren;52355;w.menzel@mkd-kurier.de;http://www.mkd-kurier.de
HORN-GMBH;1;43;10;2025-09-30;86304635.0;718553.0;0;Stutensee;76297;vergabemanagement@horn-gmbh.com;http://horn-gmbh.com
MEDIA Logistik GmbH;1;43;11;2026-01-22;24879067.0;785672.0;0;Dresden;01129;m.stenzel@media-logistik.de;
TOP-ITSERVICES;1;43;9;2025-12-20;13333355.0;377500.0;6;Unterhaching;82008;Ausschreibungen@top-itservices.com;http://www.top.itservices.com
OPTIMAL-SYSTEMS;9;43;10;2026-03-30;11197187.0;316112.0;0;Hannover;30179;ausschreibungen@optimal-systems.de;http://www.optimal-systems.de
FREQUENTIS;2;42;10;2026-01-07;634829785.0;899682.0;0;Wien;1100;bieterportal-alt@deutschebahn.com;http://frequentis.com
DELOITTE;3;42;8;2026-04-24;377706690.0;1142450.0;4;ZAVENTEM;1930;pcoe_oneeu@deloitte.com;https://www2.deloitte.com/de/de.html
MCI;2;42;9;2025-11-25;111812010.0;4000000.0;0;Hamburg;22045;info@mci.de;http://www.mci.de
SCHEER-GROUP;1;42;10;2026-06-24;49963338.0;864000.0;1;Saarbrücken;66123;info@scheer-group.com;http://scheer-management.com/
EUROFUNK;5;42;11;2026-06-02;45532239.0;1004167.0;0;Ainring;83404;ainring@eurofunk.com;https://www.eurofunk.com
H & G Hansen & Gieraths EDV Vertriebsgesellschaft mbH.;1;42;8;2026-06-01;36153301.0;745902.0;2;Bonn;53111;bid@hug.de;https://www.hug.de
CLOUDFERRO;2;41;2;2025-10-28;7176656882.0;56000000.0;0;Warschau;PL-00-511;info@cloudferro.com;https://www.cloudferro.com
PWC;8;41;10;2026-05-19;96506618.0;1169581.0;0;Diegem;1831;nicolas.loozen@pwc.com;https://www.pwc.de
VS Vereinigte Spezialmöbelfabriken GmbH & Co. KG.;1;41;9;2025-07-29;93139320.0;500000.0;0;Tauberbischofsheim;97941;ausschreibung@vs-moebel.de;http://www.vs.de
KUPPER-IT;1;41;10;2026-06-01;51943694.0;457231.0;0;Leipzig;04103;mandy.ulrich@kupper-it.com;
B1-SYSTEMS;1;40;8;2026-06-22;46715694.0;365029.0;0;Vohburg;85088;subskriptionen@b1-systems.de;http://www.b1-systems.de
MICROSTAXX;3;40;10;2026-01-31;36776139.0;1018424.0;2;München;81543;ausschreibung@microstaxx.de;http://www.microstaxx.de/
AIRITSYSTEMS;1;40;9;2025-11-11;24893242.0;443466.0;0;Langenhagen;30855;info@airitsystems.de;https://www.airitsystems.de
AKQUINET;4;40;10;2026-03-23;22669978.0;1084920.0;5;Norderstedt;22850;ausschreibung@akquinet.de;https://akquinet.com/
PHILIPS;5;40;7;2025-12-19;14825914.0;1243140.0;1;Hamburg;22335;info_ausschreibung@philips.com;
Enterprise Communications & Services GmbH;1;40;8;2025-04-07;5896841.0;256075.0;0;Leipzig;04159;info@ecs-deutschland.de;
TISPARKLE;2;39;1;2025-02-03;7176000000.0;63000000.0;0;Roma;00125 Roma;info@tisparkle.com;https://www.tisparkle.com
VSHN;1;39;2;2025-02-03;6546000000.0;56000000.0;0;Zürich;8005 Zürich;info@vshn.ch;https://www.vshn.ch
SHD System-Haus-Dresden GmbH;1;39;9;2026-06-16;55254075.0;524331.0;0;Dresden;01159;ausschreibungen@shd-online.de;http://www.shd-online.de
KOMSA;5;39;9;2026-06-10;7440534.0;461853.0;0;Hartmannsdorf;09232;bid@komsa.de;
NETCONNECT-GMBH;1;39;5;2026-05-26;;;0;Hamburg;22399;info@netconnect-gmbh.de;https://netconnect-gmbh.de/
Q-PERIOR;1;38;9;2024-07-23;539634450.0;3354775.0;5;München;80802;ausschreibungen@q-perior.com;
IVU;1;38;10;2026-06-25;501136937.0;1076290.0;0;Berlin;12161;bid-management@ivu.de;www.ivu.de
SAG Deutschland GmbH;1;38;10;2026-01-14;19464794.0;379280.0;0;Darmstadt;64297;Info@softwareag.com;http://softwareag.com
DXC;1;37;9;2026-01-14;14776455147.0;598000000.0;3;Eschborn;65760;vergabe@dxc.com;https://dxc.com/de
SANDATA;2;37;9;2026-03-17;216612913.0;404799.0;0;Nürnberg;90411;p.bartonik@sandata.de;
PICO-ENGINEERING;1;37;9;2026-06-22;208074948.0;3198000.0;4;Isernhagen;30916;ausschreibungen@pico-engineering.de;
COMPADOR;1;37;10;2025-11-11;92724608.0;814940.0;0;Berlin;14057;ausschreibungen@compador.de;
pd.MEDIENLOGISTIK GmbH;1;37;10;2025-12-02;59046080.0;700000.0;0;Augsburg;86167;keyaccount@lmf-postservice.de;
CONTERRA;8;37;11;2026-04-20;45132810.0;772268.0;2;Münster;48155;tenders@conterra.de;https://www.conterra.de
Hugo Hamann GmbH & Co. KG;1;37;10;2026-06-16;28278671.0;525231.0;1;Kiel;24105;medientechnik@buerokompetenz.de;http://www.buerokompetenz.de
ROLA;1;37;10;2025-10-13;22277470.0;373500.0;0;Oberhausen;46047;vertrieb@rola.com;http://www.rola.com
CERNER;2;36;9;2025-10-28;402026557.0;1372800.0;2;Berlin;13629;ausschreibungen_de@oracle.com;https://www.cerner.com/
BWPOST;3;36;11;2026-03-23;106904766.0;3511104.0;1;Stuttgart;70567;n.maier@bwpost.de;http://www.bwpost.net
Best Practice Consulting AG & Co. KG;1;36;9;2026-06-15;33625077.0;2020208.0;1;Münster;48155;ausschreibungen@bpc.ag;http://www.bpc.ag
Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;1;36;7;2024-05-24;10806275.0;1215128.0;1;Hamburg;20148;info@de.ey.com;
KAUTBULLINGER;5;36;10;2025-12-23;6746744.0;355594.0;0;Taufkirchen;82024;angebotswesen@kautbullinger.de;http://www.kautbullinger.de
STEEP;1;36;6;2023-12-19;450815.0;225408.0;0;Bonn;53121;cara.weiland@steep.de;
BRIEFUNDMEHR;1;35;7;2022-11-22;129512342.0;629253.0;0;Münster;48155;ausschreibung@briefundmehr.de;
FABASOFT;1;35;10;2026-04-10;35387895.0;182350.0;0;Frankfurt am Main;60549;pmo@fabasoft.com;
X-TENTION;2;35;7;2026-02-25;18785725.0;1011675.0;0;Wels;4600;ausschreibung@x-tention.at;http://www.x-tention.at
PIK;1;35;7;2025-12-08;16285502.0;469454.0;0;Berlin;12105;vertrieb@pik.de;https://pik.de
PricewaterhouseCoopers GmbH Wirtschaftsprüfungsgesellschaft;1;34;8;2026-06-23;152046100.0;1000000.0;2;Frankfurt am Main;60327;de_zentrale-pwc-wpg@pwc.com;http://pwc.com
SPEEDPOINT;1;34;9;2026-01-28;41172808.0;592264.0;0;Darmstadt;64295;info@speedpoint.de;
CCP Software GmbH;1;34;11;2026-05-18;36300951.0;583409.0;1;Marburg;35037;dtheiss@ccpsoft.de;http://www.ccpsoft.de
DATEC-GMBH;4;34;10;2026-02-17;23715710.0;698404.0;0;Heinsdorfergrund;08468;ausschreibung@datec-gmbh.de;
PROSOZ;9;34;10;2026-03-16;17279844.0;368902.0;0;Herten;45699;ausschreibungen@prosoz.de;http://www.prosoz.de
NORTAL;2;33;8;2026-01-07;51370126.0;1004022.0;3;Berlin;10719;ausschreibung@nortal.com;https://nortal.com/de/
IT-HAUS;3;33;10;2026-04-27;35464546.0;512350.0;0;Föhren;54343;menthofer@it-haus.com;http://it-haus.com
OVOL;6;33;3;2026-05-19;29926419.0;798496.0;0;Karlsruhe;76189;ausschreibungen.public@ovol.de;http://www.ovol.de
KERNDRUCK;1;33;11;2026-03-26;10598205.0;750914.0;0;Bensheim;64625;info.germany@kernworld.com;http://www.kerngmbh.de
Lur SL GmbH;6;33;6;2026-06-10;7204470.0;232966.0;1;Leuterod;56244;l.reutelsterz@lursl.de;http://www.google.de
CONNECTCOM;2;32;7;2022-08-03;242858805.0;1318904.0;0;Nürtingen;72622;info@connectcom.de;
COLT;1;32;11;2026-04-22;155434298.0;1318158.0;0;Frankfurt am Main;60322;stephan.becker@colt.net;https://www.colt.net/de/
DUBRAU-GMBH;1;32;9;2025-02-18;19080060.0;378569.0;2;Jeßnitz;06800;birgit.gessner@dubrau-gmbh.de;
INDASYS;1;32;9;2026-05-18;7734514.0;285597.0;0;Stuttgart;70499;vertrieb@indasys.de;http://www.indasys.de
Kassenärztliche Vereinigung Nordrhein;1;32;4;2026-06-01;5664477.0;360000.0;0;Dresden;01069;gross@hirschen.de;http://www.zeiss.com/digital-innovation
MEIERHOFER;1;32;6;2026-04-11;1055525.0;47820.0;0;München;81829;info@meierhofer.com;https://www.meierhofer.com/
IDV UG (haftungsbeschränkt);1;31;7;2026-02-24;139156338.0;6880800.0;1;München;80339;projects@idv-ag.de;http://www.idv-ag.de
CITIPOST-NORDWEST;1;31;10;2026-04-27;88770304.0;729066.0;0;Oldenburg;26125;info@citipost-nordwest.de;
DAMOVO;1;31;9;2026-03-30;41969057.0;119306.0;2;Ismaning;85737;DE.MB.RFP.Germany@damovo.com;
SCITECH-GMBH;1;31;9;2026-06-02;23514805.0;717800.0;0;Hennigsdorf;16761;office@scitech-gmbh.de;www.https://www.scitech-gmbh.de/
KRELLER-GMBH;1;31;9;2026-05-22;19586283.0;468000.0;0;Augustusburg;09573;c.wild@kreller-gmbh.de;https://kreller.de
ASKNET;7;31;8;2025-12-08;13725062.0;400000.0;0;Karlsruhe;76131;volker.markert@asknet.de;http://www.asknet.de
MOTOROLASOLUTIONS;3;30;9;2026-03-23;76229913.0;881946.0;0;Berlin;10785;k.drossel@motorolasolutions.com;
MATHWORKS;3;30;11;2026-04-01;42396879.0;416232.0;0;München;81673;info@mathworks.de;
NECDIS;2;30;5;2023-03-20;30178515.0;536867.0;0;Kleinostheim;63801;ausschreibung@necdis.de;
