Firma;Niederlassungen;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web
BTC Business Technology Consulting AG;1;47;10;2026-03-09;66311320.0;1933257.0;3;Oldenburg;26121;vertrieb-energie@btc-ag.com;https://www.vertrieb@btc-ag.com
JURIS;1;46;10;2026-06-26;30825797.0;759219.0;0;Saarbrücken;66121;ausschreibungen@juris.de;https://www.juris.de
ALLPREMIO;1;46;7;2026-06-02;21460431.0;215000.0;1;Düsseldorf;40549;ausschreibung@allpremio.de;http://www.allpremio.de
NTTDATA;3;46;10;2026-04-24;7570086906.0;22100000.0;121;BRUXELLES;1000;belgium.ecmu@nttdata.com;https://de.nttdata.com/
SYSTEMA-ONLINE;1;45;11;2026-06-18;65685077.0;315765.0;2;Potsdam;14482;ausschreibungen@systema-online.de;http://www.systema-online.de
SECUNET;3;45;10;2026-04-16;250129216.0;415520.0;2;Essen;45138;beispiel@secunet.de;
IGEPAGROUP;3;45;9;2025-12-16;22253068.0;396726.0;0;Dieburg;64807;rfischer@igepagroup.com;http://www.igepa.de
PRINTION;1;45;8;2023-12-01;43071857.0;393503.0;0;Griesheim;64347;vergabe@printion.de;
MKD-KURIER;1;44;8;2026-06-22;366000.0;366000.0;0;Düren;52355;w.menzel@mkd-kurier.de;http://www.mkd-kurier.de
BECK;3;44;8;2026-03-26;31715312.0;819738.0;1;München;80801;Rainer.Hohdorf@beck.de;www.saarland.de/
POLAVIS;9;44;4;2025-12-30;2057336.0;232276.0;0;Berlin;10117;bid.management@polavis.de;https://www.polavis.de/
OPTIMAL-SYSTEMS;9;43;10;2026-03-30;11197187.0;316112.0;0;Hannover;30179;ausschreibungen@optimal-systems.de;http://www.optimal-systems.de
MEDIA Logistik GmbH;1;43;11;2026-01-22;24879067.0;785672.0;0;Dresden;01129;m.stenzel@media-logistik.de;
TOP-ITSERVICES;1;43;9;2025-12-20;13333355.0;377500.0;6;Unterhaching;82008;Ausschreibungen@top-itservices.com;http://www.top.itservices.com
HORN-GMBH;1;43;10;2025-09-30;86304635.0;718553.0;0;Stutensee;76297;vergabemanagement@horn-gmbh.com;http://horn-gmbh.com
SCHEER-GROUP;1;42;10;2026-06-24;49963338.0;864000.0;1;Saarbrücken;66123;info@scheer-group.com;http://scheer-management.com/
EUROFUNK;5;42;11;2026-06-02;45532239.0;1004167.0;0;Ainring;83404;ainring@eurofunk.com;https://www.eurofunk.com
H & G Hansen & Gieraths EDV Vertriebsgesellschaft mbH.;1;42;8;2026-06-01;36153301.0;745902.0;2;Bonn;53111;bid@hug.de;https://www.hug.de
DELOITTE;3;42;8;2026-04-24;377706690.0;1142450.0;4;ZAVENTEM;1930;pcoe_oneeu@deloitte.com;https://www2.deloitte.com/de/de.html
FREQUENTIS;2;42;10;2026-01-07;634829785.0;899682.0;0;Wien;1100;bieterportal-alt@deutschebahn.com;http://frequentis.com
MCI;2;42;9;2025-11-25;111812010.0;4000000.0;0;Hamburg;22045;info@mci.de;http://www.mci.de
KUPPER-IT;1;41;10;2026-06-01;51943694.0;457231.0;0;Leipzig;04103;mandy.ulrich@kupper-it.com;
PWC;8;41;10;2026-05-19;96506618.0;1169581.0;0;Diegem;1831;nicolas.loozen@pwc.com;https://www.pwc.de
CLOUDFERRO;2;41;2;2025-10-28;7176656882.0;56000000.0;0;Warschau;PL-00-511;info@cloudferro.com;https://www.cloudferro.com
VS Vereinigte Spezialmöbelfabriken GmbH & Co. KG.;1;41;9;2025-07-29;93139320.0;500000.0;0;Tauberbischofsheim;97941;ausschreibung@vs-moebel.de;http://www.vs.de
B1-SYSTEMS;1;40;8;2026-06-22;46715694.0;365029.0;0;Vohburg;85088;subskriptionen@b1-systems.de;http://www.b1-systems.de
AKQUINET;4;40;10;2026-03-23;22669978.0;1084920.0;5;Norderstedt;22850;ausschreibung@akquinet.de;https://akquinet.com/
MICROSTAXX;3;40;10;2026-01-31;36776139.0;1018424.0;2;München;81543;ausschreibung@microstaxx.de;http://www.microstaxx.de/
PHILIPS;5;40;7;2025-12-19;14825914.0;1243140.0;1;Hamburg;22335;info_ausschreibung@philips.com;
AIRITSYSTEMS;1;40;9;2025-11-11;24893242.0;443466.0;0;Langenhagen;30855;info@airitsystems.de;https://www.airitsystems.de
Enterprise Communications & Services GmbH;1;40;8;2025-04-07;5896841.0;256075.0;0;Leipzig;04159;info@ecs-deutschland.de;
SHD System-Haus-Dresden GmbH;1;39;9;2026-06-16;55254075.0;524331.0;0;Dresden;01159;ausschreibungen@shd-online.de;http://www.shd-online.de
KOMSA;5;39;9;2026-06-10;7440534.0;461853.0;0;Hartmannsdorf;09232;bid@komsa.de;
NETCONNECT-GMBH;1;39;5;2026-05-26;;;0;Hamburg;22399;info@netconnect-gmbh.de;https://netconnect-gmbh.de/
TISPARKLE;2;39;1;2025-02-03;7176000000.0;63000000.0;0;Roma;00125 Roma;info@tisparkle.com;https://www.tisparkle.com
VSHN;1;39;2;2025-02-03;6546000000.0;56000000.0;0;Zürich;8005 Zürich;info@vshn.ch;https://www.vshn.ch
IVU;1;38;10;2026-06-25;501136937.0;1076290.0;0;Berlin;12161;bid-management@ivu.de;www.ivu.de
SAG Deutschland GmbH;1;38;10;2026-01-14;19464794.0;379280.0;0;Darmstadt;64297;Info@softwareag.com;http://softwareag.com
Q-PERIOR;1;38;9;2024-07-23;539634450.0;3354775.0;5;München;80802;ausschreibungen@q-perior.com;
PICO-ENGINEERING;1;37;9;2026-06-22;208074948.0;3198000.0;4;Isernhagen;30916;ausschreibungen@pico-engineering.de;
Hugo Hamann GmbH & Co. KG;1;37;10;2026-06-16;28278671.0;525231.0;1;Kiel;24105;medientechnik@buerokompetenz.de;http://www.buerokompetenz.de
CONTERRA;8;37;11;2026-04-20;45132810.0;772268.0;2;Münster;48155;tenders@conterra.de;https://www.conterra.de
SANDATA;2;37;9;2026-03-17;216612913.0;404799.0;0;Nürnberg;90411;p.bartonik@sandata.de;
DXC;1;37;9;2026-01-14;14776455147.0;598000000.0;3;Eschborn;65760;vergabe@dxc.com;https://dxc.com/de
pd.MEDIENLOGISTIK GmbH;1;37;10;2025-12-02;59046080.0;700000.0;0;Augsburg;86167;keyaccount@lmf-postservice.de;
COMPADOR;1;37;10;2025-11-11;92724608.0;814940.0;0;Berlin;14057;ausschreibungen@compador.de;
ROLA;1;37;10;2025-10-13;22277470.0;373500.0;0;Oberhausen;46047;vertrieb@rola.com;http://www.rola.com
Best Practice Consulting AG & Co. KG;1;36;9;2026-06-15;33625077.0;2020208.0;1;Münster;48155;ausschreibungen@bpc.ag;http://www.bpc.ag
BWPOST;3;36;11;2026-03-23;106904766.0;3511104.0;1;Stuttgart;70567;n.maier@bwpost.de;http://www.bwpost.net
KAUTBULLINGER;5;36;10;2025-12-23;6746744.0;355594.0;0;Taufkirchen;82024;angebotswesen@kautbullinger.de;http://www.kautbullinger.de
CERNER;2;36;9;2025-10-28;402026557.0;1372800.0;2;Berlin;13629;ausschreibungen_de@oracle.com;https://www.cerner.com/
Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;1;36;7;2024-05-24;10806275.0;1215128.0;1;Hamburg;20148;info@de.ey.com;
STEEP;1;36;6;2023-12-19;450815.0;225408.0;0;Bonn;53121;cara.weiland@steep.de;
FABASOFT;1;35;10;2026-04-10;35387895.0;182350.0;0;Frankfurt am Main;60549;pmo@fabasoft.com;
X-TENTION;2;35;7;2026-02-25;18785725.0;1011675.0;0;Wels;4600;ausschreibung@x-tention.at;http://www.x-tention.at
PIK;1;35;7;2025-12-08;16285502.0;469454.0;0;Berlin;12105;vertrieb@pik.de;https://pik.de
BRIEFUNDMEHR;1;35;7;2022-11-22;129512342.0;629253.0;0;Münster;48155;ausschreibung@briefundmehr.de;
PricewaterhouseCoopers GmbH Wirtschaftsprüfungsgesellschaft;1;34;8;2026-06-23;152046100.0;1000000.0;2;Frankfurt am Main;60327;de_zentrale-pwc-wpg@pwc.com;http://pwc.com
CCP Software GmbH;1;34;11;2026-05-18;36300951.0;583409.0;1;Marburg;35037;dtheiss@ccpsoft.de;http://www.ccpsoft.de
PROSOZ;9;34;10;2026-03-16;17279844.0;368902.0;0;Herten;45699;ausschreibungen@prosoz.de;http://www.prosoz.de
DATEC-GMBH;4;34;10;2026-02-17;23715710.0;698404.0;0;Heinsdorfergrund;08468;ausschreibung@datec-gmbh.de;
SPEEDPOINT;1;34;9;2026-01-28;41172808.0;592264.0;0;Darmstadt;64295;info@speedpoint.de;
Lur SL GmbH;6;33;6;2026-06-10;7204470.0;232966.0;1;Leuterod;56244;l.reutelsterz@lursl.de;http://www.google.de
OVOL;6;33;3;2026-05-19;29926419.0;798496.0;0;Karlsruhe;76189;ausschreibungen.public@ovol.de;http://www.ovol.de
IT-HAUS;3;33;10;2026-04-27;35464546.0;512350.0;0;Föhren;54343;menthofer@it-haus.com;http://it-haus.com
KERNDRUCK;1;33;11;2026-03-26;10598205.0;750914.0;0;Bensheim;64625;info.germany@kernworld.com;http://www.kerngmbh.de
NORTAL;2;33;8;2026-01-07;51370126.0;1004022.0;3;Berlin;10719;ausschreibung@nortal.com;https://nortal.com/de/
Kassenärztliche Vereinigung Nordrhein;1;32;4;2026-06-01;5664477.0;360000.0;0;Dresden;01069;gross@hirschen.de;http://www.zeiss.com/digital-innovation
INDASYS;1;32;9;2026-05-18;7734514.0;285597.0;0;Stuttgart;70499;vertrieb@indasys.de;http://www.indasys.de
COLT;1;32;11;2026-04-22;155434298.0;1318158.0;0;Frankfurt am Main;60322;stephan.becker@colt.net;https://www.colt.net/de/
MEIERHOFER;1;32;6;2026-04-11;1055525.0;47820.0;0;München;81829;info@meierhofer.com;https://www.meierhofer.com/
DUBRAU-GMBH;1;32;9;2025-02-18;19080060.0;378569.0;2;Jeßnitz;06800;birgit.gessner@dubrau-gmbh.de;
CONNECTCOM;2;32;7;2022-08-03;242858805.0;1318904.0;0;Nürtingen;72622;info@connectcom.de;
SCITECH-GMBH;1;31;9;2026-06-02;23514805.0;717800.0;0;Hennigsdorf;16761;office@scitech-gmbh.de;www.https://www.scitech-gmbh.de/
KRELLER-GMBH;1;31;9;2026-05-22;19586283.0;468000.0;0;Augustusburg;09573;c.wild@kreller-gmbh.de;https://kreller.de
CITIPOST-NORDWEST;1;31;10;2026-04-27;88770304.0;729066.0;0;Oldenburg;26125;info@citipost-nordwest.de;
DAMOVO;1;31;9;2026-03-30;41969057.0;119306.0;2;Ismaning;85737;DE.MB.RFP.Germany@damovo.com;
IDV UG (haftungsbeschränkt);1;31;7;2026-02-24;139156338.0;6880800.0;1;München;80339;projects@idv-ag.de;http://www.idv-ag.de
ASKNET;7;31;8;2025-12-08;13725062.0;400000.0;0;Karlsruhe;76131;volker.markert@asknet.de;http://www.asknet.de
ZEHNBAUER-IT;1;30;8;2026-06-23;8229771.0;266678.0;0;Mannheim;68309;info@zehnbauer-it.de;http://www.zehnbauer-it.de
OFFICEXPRESS;1;30;8;2026-06-16;6474320.0;384507.0;0;Kamp-Lintfort;47475;andreas.wilms@officexpress.de;http://www.officexpress.de
MATHWORKS;3;30;11;2026-04-01;42396879.0;416232.0;0;München;81673;info@mathworks.de;
MOTOROLASOLUTIONS;3;30;9;2026-03-23;76229913.0;881946.0;0;Berlin;10785;k.drossel@motorolasolutions.com;
GARTNER;1;30;8;2025-12-17;7140625.0;636624.0;0;München;81829;Basak.Akbayir@gartner.com;www.gartner.de
GK Nachrichtentechnik GmbH;1;30;6;2025-12-08;699831.0;93843.0;0;Haarbach;D-94542;brandl@gk-datentechnik.de;
SWS;1;30;8;2023-07-11;11676447.0;343007.0;0;Regensburg;93059;vertrieb@sws.de;
NECDIS;2;30;5;2023-03-20;30178515.0;536867.0;0;Kleinostheim;63801;ausschreibung@necdis.de;
DRUCKERFACHMANN;1;29;10;2026-06-16;27644219.0;1208145.0;1;Berlin;12524;kundenservicekundenservice@druckerfachmann.de;https://www.druckerfachmann.de
PIN GmbH;1;29;8;2026-05-19;43532721.0;1103344.0;0;Berlin;10559;ausschreibungen@pin-ag.de;http://www.pin-ag.de
PDV;3;29;10;2026-04-29;7487121.0;295008.0;0;Erfurt;99097;info@pdv.de;https://www.pdv.de/
operational services GmbH & Co. KG;1;29;9;2026-04-23;22488451.0;3500000.0;1;Frankfurt am Main;60549;gisbert.edelmann@o-s.de;http://www.o-s.de
DCON;2;29;7;2025-12-02;2640000.0;2640000.0;0;Kaiserslautern;67657;presales@dcon.de;www.dcon.de
VALANTIC;10;28;9;2026-04-08;3178467.0;398446.0;0;Tägerwilen;8274;info@valantic.com;https://www.valantic.com/de/sap-services/
URANO;2;28;9;2026-03-11;277380584.0;2128896.0;0;Bad Kreuznach;55543;ausschreibung@urano.de;
McWERK GmbH;3;28;5;2025-12-08;15885457.0;325842.0;0;Wien;1040;michael.doeltl@acp.at;
IETHOLT;2;28;8;2025-10-21;11904851.0;515452.0;0;Velen;46342;c.schlattmann@wietholt.de;http://wietholt.de
Tusk GmbH;1;27;7;2026-04-09;39861886.0;2056300.0;0;Backnang;71522;simon.schreiber@telent.de;https://www.telent.de/de/
KIEBACK-PETER;2;27;11;2026-04-07;6018072.0;164249.0;0;Rostock;18107;e-vergabe@kieback-peter.de;
KST-MOSCHKAU;2;27;7;2026-03-17;9911454.0;346973.0;0;Düren-Stockheim;52372;markus.schneidersmann@kst-moschkau.de;
RECARESOLUTIONS;4;27;5;2025-12-30;2637840.0;224799.0;0;Berlin;10557;bid.management@recaresolutions.com;http://recaresolutions.com
IFMB-INSTITUT;2;27;2;2022-07-01;8292352.0;219972.0;3;Tutzing;82327;ausschreibung@ifmb-institut.de;
MICROFOCUS;7;26;10;2026-06-23;2961264.0;1289825.0;0;Mannheim;68161;michael.pawlak@microfocus.com;
INFODAS;5;26;10;2026-06-08;4539757.0;834800.0;3;Köln;50765;vertrieb@infodas.de;
CITIPOST;1;26;11;2026-05-18;161320893.0;5153409.0;0;Hannover;30179;b.pickert@citipost.de;http://www.citipost.de
AOK Systems GmbH;1;26;6;2026-04-20;1428912.0;580800.0;0;Bonn;53177;;
SAMEDI;1;26;8;2026-04-16;842636.0;215001.0;0;Berlin;10247;ausschreibung@samedi.de;www.samedi.com
STREIT;2;26;10;2026-01-23;7685398.0;349437.0;0;Gengenbach;77723;Ausschreibungen@streit.de;https://www.streit.de/
CITIPOST-OWL;2;26;9;2026-01-20;179237059.0;805936.0;0;Bielefeld;33689;ausschreibungen@citipost-owl.de;https://citipost-owl.de/
ISFORT;1;26;6;2025-12-12;62176738.0;3813535.0;0;Münster;48161;olaf.isfort@isfort.ms;http://www.isfort.ms
SETCOR;1;26;1;2025-02-03;3808000000.0;55000000.0;0;Jastrebarsko;10450 Jastrebarsko;info@setcor.com;https://www.setcor.com
BELLGARDT;3;26;6;2024-08-02;14206498.0;389780.0;0;Meckenbeuren;88074;v.ford@bellgardt.de;
AVENCY;1;25;9;2026-06-10;4830996.0;258595.0;0;Ostbevern;48346;nihat.erk@avency.de;https://www.avency.de/
Dräger Medical Deutschland GmbH;1;25;8;2026-06-08;15011479.0;582958.0;1;Lübeck;23558;ausschreibungen@draeger.com;http://www.draeger.com
SCOPELAND;1;25;10;2026-06-03;2801189.0;357000.0;0;Berlin;13469;sales@shodan.de;https://www.scopeland.de/
GlasfaserPlus GmbH;9;25;2;2026-05-28;62128632.0;2006535.0;0;Köln;51063;markus.sand@telekom.de;https://www.regierung.oberbayern.bayern.de/ueber_uns/zentralezustaendigkeiten/vergabekammer-suedbayern/index.html
BECHTLE-COMSOFT;1;25;9;2026-05-26;52771329.0;477680.0;0;Neckarsulm;74172;ausschreibungen@bechtle-comsoft.de;http://www.https://www.bechtle.com
SINUS-NT;1;25;9;2026-05-04;22763689.0;824781.0;0;Barsbüttel;22885;ausschreibungen@sinus-nt.de;http://www.sinus-nt.de
Vision Consulting GmbH & Co.KG;1;25;10;2026-04-13;80769955.0;788480.0;0;Berlin;10117;vertrieb@vc-g.de;
ITS-TECHNIDATA;1;25;8;2026-03-30;24596877.0;300000.0;0;Markdorf;88677;vertrieb@its-technidata.de;
LUMINO;3;25;10;2026-02-10;8285541.0;694926.0;0;Krefeld;47807;mfullert@lumino.de;http://www.lumino.de
PRIMELINE;1;25;5;2025-12-15;5595760.0;220385.0;0;Bad Oeynhausen;32549;vertrieb@primeline.org;
NTTCABLE;6;25;8;2025-07-18;46160709.0;183617.0;0;Idstein;65510;tender@nttcable.com;http://www.nttcable.com
KRAMERUNDCREW;1;24;8;2026-06-23;9191355.0;416750.0;0;Köln;50933;vgerecke@kramerundcrew.de;http://kramerundcrew.de
HERZUM;5;24;5;2026-06-02;6089990.0;475494.0;0;Rende (CS);87036;sales.italy@herzum.com;http://italia.herzum.com
IABG;3;24;10;2026-05-21;23255348.0;2687976.0;0;Ottobrunn;85521;info@iabg.de;
ICM GmbH;1;24;10;2026-05-12;27355213.0;675754.0;0;Hamburg;22419;vertrieb@mcs.de;
MACH;1;24;11;2026-03-20;35329077.0;436306.0;0;Lübeck;23558;MAILBOX@MACH.DE;
ULTRA;7;24;9;2026-01-23;17795190.0;1710552.0;1;Solingen;42699;info@ultra.de;
ISEC7;1;24;9;2025-12-11;3162676.0;295906.0;0;Hamburg;21079;sales@isec7.com;http://isec7.com
ECOMPANY;1;24;9;2025-12-11;20887380.0;274772.0;0;Berlin;14052;ausschreibungen@ecompany.ag;http://www.ecompany.ag
iMDsoft GmbH;1;24;6;2025-02-10;4067500.0;714861.0;1;Düsseldorf;40549;sales-de@imd-soft.com;https://www.imd-softde.de/
SDEV;1;24;3;2023-06-11;680800.0;340400.0;0;Niederkassel;53859;mbuecher@sdev.de;
HISOLUTIONS;1;23;8;2026-06-22;328046400.0;22200000.0;9;Berlin;12163;ausschreibungen@hisolutions.com;http://www.hisolutions.com
RIBBEX;6;23;9;2026-06-16;6498547.0;532000.0;0;Wesseling;50389;ausschreibung@ribbex.de;http://www.ribbex.de
EY Consulting GmbH;6;23;3;2026-06-02;1512281.0;1512281.0;2;Eschborn;65760;marc.schuetz@de.ey.com;http://www.ey.com
AVODAQ;1;23;9;2026-05-18;30536880.0;840000.0;0;Hamburg;20097;Dummy-eMail-eVergabe@fb.hamburg.de;http://avodaq.com
ITISO;1;23;9;2026-03-24;33025131.0;692288.0;0;Hamburg;22335;administration@itiso.de;
TELEFONICA;2;23;7;2026-01-16;10491346.0;323100.0;0;München;80992;impressum@cc.o2online.de;http://www.telefonica.de
Unify Communications and Collaboration GmbH & Co. KG;1;23;10;2026-01-09;5242592.0;425518.0;0;Stuttgart;70499;ANDREAS.FUNK@ATOS.NET;https://unify.com/de/
KISTERS;3;23;8;2025-12-05;3576135.0;293874.0;0;Aachen;52076;tender@kisters.de;https://www.kisters.eu/de/
LOGICALIS;1;23;9;2025-08-01;9769831.0;585000.0;0;Neu Isenburg;63263;marion.droessler@logicalis.de;
Ernst & Young GmbH;1;23;7;2025-05-06;1848353718.0;60000000.0;0;Stuttgart;70629;pursuits.gps@de.ey.com;
ShelterRock Investments GmbH;1;23;8;2025-04-10;5688265.0;2324415.0;6;Mannheim;68163;alexander.arndt@etengo.de;https://www.etengo.de/
MAERZ-NETWORK;2;23;9;2025-04-02;25701268.0;503049.0;0;Berlin;13053;info@maerz-network.de;https://www.maerz-network.de/
HELDELE;1;23;9;2025-02-25;8074100.0;387515.0;0;Salach;73084;evergabe@heldele.de;
AGELERO;1;23;4;2023-10-19;8742616.0;244897.0;0;Erding;85435;edu@agelero.de;
TRADEX;2;23;6;2023-10-10;11674473.0;419580.0;0;Tallinn;EE-10145;biuro@tradex.pl;
Research Industrial Systems Engineering (RISE) Forschungs-, Entwicklungs- und Großprojektberatung GmbH;5;22;7;2026-05-27;49928235.0;221000.0;0;Schwechat;2320;welcome@rise-world.com;https://www.rise-world.com/de/
ANTALIS;1;22;10;2026-05-18;53881907.0;4120000.0;0;Frechen;50226;arno.viertel@antalis.com;https://www.antalis.de
DISY;1;22;10;2026-04-28;16824164.0;801800.0;0;Karlsruhe;76131;ausschreibungsdienste@disy.net;www.disy.net
RIB-SOFTWARE;1;22;9;2026-04-22;24814094.0;915228.0;0;Berlin;10365;andrea.mebert@rib-software.com;www.rib-software.com
MEDDV;1;22;9;2026-03-31;9012845.0;425485.0;0;Fernwald;35463;tender@meddv.de;www.meddv.de
RODA-COMPUTER;1;22;10;2026-01-13;1981100.0;990550.0;0;Lichtenau;77839;adam.s@roda-computer.com;
TIMETOACT-GROUP;2;22;6;2025-12-14;2503765.0;471428.0;0;Köln;50670;customer-care@timetoact-group.com;http://www.timetoact-group.com
NORDBRIEF-OSTSEE;1;22;10;2025-09-15;26783674.0;317241.0;0;Lübeck;23556;ausschreibungen@nordbrief-ostsee.de;http://www.nordbrief-ostsee.de
HxGN Safety & Infrastructure GmbH;1;22;7;2025-05-26;9305467.0;411752.0;0;Ismaning;85737;ausschreibungen.de.si@hexagon.com;
IMTB;1;22;7;2025-04-28;446667415.0;40000000.0;3;Berlin;10117;info@imtb.de;http://imtb.de
PricewaterhouseCoopers AG WPG;1;22;8;2025-04-24;215000.0;215000.0;1;Berlin;10117;DE_Kontakt@pwc.com;
COMPU-HOUSE;1;22;6;2024-05-13;17198818.0;265500.0;0;Weismain;96260;info@compu-house.de;
XEVIT;1;22;8;2023-05-10;21764119.0;338179.0;0;Ettlingen;76275;patrick.mangler@xevit.com;
OFFICE-PARTNER;1;21;5;2026-06-15;354027.0;172800.0;0;Gescher;48712;ausschreibungen@office-partner.de;http://www.office-partner.de
SIGEL;1;21;10;2026-05-19;1632506.0;266211.0;0;Mertingen;86690;martin.kunz@sigel.de;https://www.sigel-office.com/
MAINPOSTLOGISTIK;2;21;10;2026-04-28;12904517.0;627659.0;0;Würzburg;97084;ausschreibung@mainpostlogistik.de;
MEDIAMARKT;6;21;6;2026-04-13;4931562.0;239019.0;0;Berlin-Spandau;13597;franz@mediamarkt.de;https://www.mediamarkt.de
IMBUS;3;21;9;2026-03-25;72959034.0;3649818.0;3;Möhrendorf;91096;rl_sales@imbus.de;http://www.imbus.de
HEINEKINGMEDIA;1;21;8;2026-03-06;6062020.0;484578.0;1;Hannover;30161;tenderdesk@heinekingmedia.de;
ERHARDTFISCHER;4;21;9;2026-03-02;7718690.0;234554.0;0;Karlsruhe;76135;projekt@erhardtfischer.de;
SEITENBAU;1;21;8;2026-02-04;65194163.0;824250.0;0;Konstanz;78467;ausschreibungen@seitenbau.com;www.seitenbau.com
BABIEL;2;21;10;2026-01-19;41794103.0;573481.0;1;Düsseldorf;40233;ausschreibungen@babiel.com;https://www.babiel.com/
OPITZ-CONSULTING;2;21;10;2026-01-02;20008535.0;1872000.0;1;Gummersbach;51647;waltraud.gier@opitz-consulting.com;
TELEKOM-HEALTHCARE;3;21;5;2025-12-29;5794329.0;242567.0;1;Köln;50676;tender.dtcs@telekom-healthcare.com;https://www.telekom-healthcare.com/
FRAUNHOFER;11;21;8;2025-12-22;10287452.0;507669.0;0;Karlsruhe;76131;projektverwaltung@iosb.fraunhofer.de;http://iese.fraunhofer.de
EITCO;3;21;9;2025-11-03;105797982.0;1307338.0;0;Berlin;10785;vergabeportal@eitco.de;https://www.eitco.de
Geiger GmbH & Co. KG;2;21;10;2025-08-18;15037156.0;372466.0;0;Aalen;73434;geiger_info@igepagroup.com;
ECS Enterprise Communications & Services GmbH;3;21;6;2025-03-17;105153081.0;162000.0;0;Leipzig;04159;vergabe@ecs-deutschland.de;
FRIENDSMOBILE;1;20;5;2026-06-19;21601.0;21601.0;0;Hürth;50354;info@friendsmobile.de;
LOYHUTZ;1;20;8;2026-06-15;5620223.0;359941.0;0;Freiburg;79110;zentrale@loyhutz.de;https://www.loyhutz.de/
3PC;4;20;7;2026-05-21;5939545.0;264940.0;1;Berlin;10969;vergabe@3pc.de;http://3pc.de
SCALTEL;1;20;10;2026-05-18;9076494.0;476966.0;0;Waltenhofen;87448;info@scaltel.de;https://www.scaltel.de/
RESSOURCENMANGEL;2;20;11;2026-04-13;6044524.0;504201.0;0;Berlin;10997;newbusiness@ressourcenmangel.de;http://www.ressourcenmangel.de
EXXETA;1;20;7;2026-04-01;150666594.0;4652000.0;4;Karlsruhe;76137;info@exxeta.com;http://www.exxeta.com
INNOBIS;1;20;10;2026-03-25;71486000.0;2000000.0;9;Norderstedt;22848;info@innobis.de;https://www.innobis.de/
MENTZ;1;20;9;2026-03-18;3403994.0;277734.0;0;München;81675;info@mentz.net;https://www.mentz.net
MEDIATEC;3;20;10;2026-02-03;6371473.0;285103.0;0;Köln;50828;n.mau@mediatec.de;http://www.mediatec.de
PASS-CONSULTING;3;20;8;2025-12-21;150867513.0;2180800.0;2;Aschaffenburg;63741;RESPOVVVV@rentenbank.de;https://www.pass-consulting.com/pass-system-management-ag/
SAVECO;1;20;8;2025-12-02;24169901.0;1098000.0;0;Niederwürschnitz;09399;carolin.haug@saveco.de;http://www.saveco.de
Werner Bull e.K.;1;20;9;2025-12-02;187498842.0;5937280.0;0;Köln;51149;thomas.knebel@eviden.com;http://de.atos.net/bull
SAVECOM;1;20;7;2025-09-15;6343371.0;222000.0;1;Korschenbroich;41352;r.gladitz@savecom.de;https://www.savecom.de/
WINDHOFF SOFTWARE SERVICES GmbH;1;20;8;2025-08-14;8905500.0;450000.0;0;Gescher;48712;j.weihmann@windhoff-group.de;https://windhoff-group.de/
HACON;2;20;8;2025-05-26;20882692.0;321000.0;0;Hannover;30163;info@hacon.de;https://www.hacon.de/
V-BC;1;20;4;2023-04-11;11573702.0;249322.0;0;Reinsdorf;08141;ausschreibungen@v-bc.de;
