Firma;Register_ID;Gruppe;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web;Aufloesung
SAP Deutschland SE & Co. KG;B8535_HRA350654;SAP;313;12;2026-06-09;587575596.0;942373.0;2;Walldorf;69190;info.germany@sap.com;https://www.sap.com/;handelsregister_exakt
adesso GmbH;D4708V_HRB6970;ADESSO;296;11;2026-06-17;1066199174.0;1240500.0;27;Dortmund;44269;marcel.penstorf@sec.adesso-group.com;https://www.adesso.de;handelsregister_exakt
Ricoh Deutschland GmbH;P2305_HRB5794;RICOH;271;11;2026-06-08;425971773.0;459114.0;1;Hannover;30179;tender.procedure@service.ricoh.de;https://www.ricoh.de;handelsregister_exakt
ACP IT Solutions GmbH;B8537_HRB722381;ACP;257;11;2026-06-18;133991943.0;489935.0;0;Würzburg;97076;public.wue@acp.de;http://www.acp.de;handelsregister_exakt
IBM Deutschland GmbH;B8534_HRB14562;IBM;214;11;2026-06-26;48798466749.0;598000000.0;3;Ehningen;71139;maxion@de.ibm.com;https://www.ibm.com/de-de;handelsregister_exakt
Hays AG;B8535_HRB8258;HAYS;209;11;2026-05-11;808168883.0;2096348.0;25;Mannheim;68163;Ausschreibungsmanagement@hays.de;http://www.hays.de;handelsregister_exakt
Think about IT GmbH;R2201_HRB11208;THINK-ABOUT;208;10;2026-06-23;481171734.0;403865.0;9;Münster;48155;tendermanagement@think-about.it;http://www.think-about.it;handelsregister_exakt
Crayon Deutschland GmbH;D2601V_HRB176767;CRAYON;204;10;2026-04-02;269612346.0;526551.0;0;Unterhaching;82008;info@crayon.de;https://www.crayon.com/de/;handelsregister_exakt
Materna GmbH Information & Communications;B8537_HRB532532;MATERNA;184;11;2026-05-20;507718901.0;1493500.0;2;Dortmund;44263;bidman@materna.group;http://www.materna.de;handelsregister_exakt
Vodafone GmbH;R1101_HRB38062;VODAFONE;179;11;2026-06-08;1355099166.0;1430000.0;2;Düsseldorf;40549;e.vergabe@vodafone.com;http://vodafone.com;handelsregister_exakt
COMPAREX AG;U1308_HRB15064;COMPAREX;164;9;2025-01-23;497778386.0;621000.0;1;Leipzig;04329;Ausschreibungsmanagement@comparex.de;;handelsregister_exakt
CHG-MERIDIAN AG;B8537_HRB551857;CHG-MERIDIAN;149;11;2026-04-30;393509946.0;429860.0;7;Weingarten;88250;ausschreibungchg@chg-meridian.com;http://www.chg-meridian.com;handelsregister_exakt
Microsoft Deutschland GmbH;D2601V_HRB70438;MICROSOFT;149;11;2026-06-04;119253375.0;793782.0;0;München;80807;info@microsoft.com;www.microsoft.com;handelsregister_exakt
Gesellschaft für digitale Bildung mbH;K1101R_HRB87487;;149;8;2025-11-17;76688299.0;357973.0;8;Hamburg;22763;ausschreibung@gfdb.de;https://www.gfdb.de;handelsregister_exakt
Atos Information Technology GmbH;D2601V_HRB235509;ATOS;147;10;2026-05-19;1071485773.0;3025800.0;8;München;81739;de-info@atos.net;;handelsregister_exakt
Sopra Steria SE;K1101R_HRB151350;SOPRASTERIA;145;11;2026-05-13;929794139.0;3966250.0;6;Hamburg;22085;BidOffice-PS@soprasteria.com;https://www.soprasteria.de/;handelsregister_exakt
TA Triumph-Adler Deutschland GmbH;D3310V_HRB29641;TRIUMPH-ADLER;145;10;2026-03-24;123020071.0;309948.0;0;Nürnberg;90449;Ausschreibung@triumph-adler.net;http://triumph-adler.net;handelsregister_exakt
Lyreco Deutschland GmbH;B8534_HRB244607;LYRECO;145;11;2026-06-02;106309073.0;307636.0;3;Barsinghausen;30890;DE.SFS.BidandTender@lyreco.com;https://www.lyreco.com;handelsregister_exakt
redNet GmbH;T2304V_HRB8545;REDNET;142;10;2025-08-18;151608586.0;594576.0;2;Mainz;55129;ausschreibungen@rednet.ag;http://rednet.ag;handelsregister_exakt
CONET Solutions GmbH;R3208_HRB9136;CONET;140;11;2026-06-04;38198389.0;842640.0;2;Bonn;53113;cs-ausschreibungen@conet.de;https://www.conet.de/de/;handelsregister_exakt
msg systems AG;D2601V_HRB140149;MSG;138;10;2026-03-03;1190473037.0;10250000.0;11;Ismaning;85737;msg.info-GBP-Vergabeplattformen@msg.group;https://www.msg.group/de;handelsregister_exakt
PROFI Engineering Systems GmbH;M1103_HRB5515;PROFI-AG;137;11;2026-06-16;192097652.0;307644.0;3;Darmstadt;64293;profi.public@profi-ag.de;http://www.profi-ag.de;handelsregister_exakt
BearingPoint GmbH;M1201_HRB55490;BEARINGPOINT;128;11;2026-06-19;1347147701.0;2900000.0;7;Frankfurt am Main;60327;tender.monitoring.gsa@bearingpoint.com;http://www.bearingpoint.com;handelsregister_exakt
Controlware GmbH;;CONTROLWARE;126;10;2025-12-16;428676388.0;2195000.0;3;Dietzenbach;63128;peter.plocher@controlware.de;;nur_name
Itmediaconsult AG;T2408V_HRB4344;ITMEDIACONSULT;124;10;2026-05-19;212406970.0;374983.0;1;Züsch;54422;vertrieb@itmediaconsult.de;https://itmediaconsult.de/;handelsregister_exakt
Dell GmbH;M1201_HRB75453;DELL;123;11;2026-06-09;591015958.0;1184164.0;3;Frankfurt am Main;60549;DE_PUB_Ausschreibungen@dell.com;https://www.dell.com/;handelsregister_exakt
ORACLE Deutschland B.V. & Co. KG;D2601V_HRA95603;ORACLE;123;11;2026-06-19;214866905.0;1156111.0;0;München;80992;contact@oracle.com;;handelsregister_exakt
CMS IT-Consulting GmbH;D2601V_HRB114905;;121;11;2026-05-19;346640348.0;321397.0;0;Grasbrunn;85630;vertrieb@cms-it.de;http://cms-it.de;handelsregister_exakt
Dedalus Healthcare GmbH;;DEDALUS;118;6;2025-03-21;41000675.0;674103.0;4;Bonn;53227;ausschreibungen@dedalus.com;;nur_name
Accenture GmbH;M1203_HRB5920;ACCENTURE;112;11;2026-05-26;15702949553.0;207983193.0;5;Kronberg im Taunus;61476;ASG-HPS.Tenders@accenture.com;http://www.accenture.de;handelsregister_exakt
Capgemini Deutschland GmbH;B8534_HRB22474;CAPGEMINI;111;10;2026-05-26;47002531113.0;506750000.0;10;Köln;50679;publicvergabeverfahren.de@capgemini.com;http://www.capgemini.com/de;handelsregister_exakt
Canon Deutschland GmbH;R1102_HRB4444;CANON;108;11;2026-06-08;76397502.0;419146.0;2;Krefeld;47807;ralf.schroeder@canon.de;http://canon.de;handelsregister_exakt
Spherion Verwaltungs-GmbH;R1101_HRB39289;;103;10;2026-05-18;2840533121.0;14150000.0;9;Düsseldorf;40476;buba_management@deloitte.de;http://deloitte.de;handelsregister_exakt
wittler visuelle einrichtungen gmbh;F1103R_HRB94857;ITTLER;100;9;2026-06-12;85954793.0;404799.0;0;Berlin;12349;info@wittler.biz;http://www.wittler.biz;handelsregister_exakt
Gisa GmbH;B8534_HRB758060;GISA;92;11;2026-06-24;53379531.0;827550.0;0;Halle/ Saale;06112;anke.boerner@gisa.de;http://www.gisa.de;handelsregister_exakt
KPMG AG Wirtschaftsprüfungsgesellschaft;F1103R_HRB106191;KPMG;91;10;2026-05-26;1080338194.0;7000000.0;3;Berlin;10785;de-kpmgkfweinkauf@kpmg.com;https://kpmg.com/de/de.html;handelsregister_exakt
]init[ Aktiengesellschaft für digitale Kommunikation;F1103R_HRB73218;INIT;91;11;2026-05-30;868658589.0;3544710.0;4;Berlin;10997;bidoffice@init.de;https://www.init.de;handelsregister_exakt
MEGWARE Computer Vertrieb und Service GmbH;U1206_HRB584;MEGWARE;87;10;2026-04-01;109279851.0;372034.0;0;Chemnitz-Roehrsdorf;09247;info@megware.com;https://www.megware.com/en/;handelsregister_exakt
V-BC.de;;;87;7;2023-08-24;32986286.0;278362.0;1;Reinsdorf;08141;ausschreibungen@v-bc.de;;nur_name
MUP Bürohandels GmbH;M1301_HRB765;;85;11;2026-05-18;108716669.0;368146.0;0;Fulda;36039;ausschreibung@mupi.de;http://mupi.de;handelsregister_exakt
Deutsche Telekom Business Solutions GmbH (PG8108);;TELEKOM;84;7;2026-06-01;223449715.0;1249627.0;2;Frankfurt;60431;daniela.schulmeyer@telekom.de;;nur_name
Konica Minolta Business Solutions Deutschland GmbH;P2305_HRB61209;KONICAMINOLTA;83;11;2026-03-02;39703656.0;473639.0;0;Langenhagen;30855;tender-office@konicaminolta.de;http://www.konicaminolta.de;handelsregister_exakt
Bechtle IT-Systemhaus GmbH & Co. KG;M1405_HRA3994;BECHTLE;82;10;2026-03-20;928350978.0;495946.0;1;Stuttgart;70567;vergabe.saarbruecken@bechtle.com;;handelsregister_exakt
H&G Hansen & Gieraths IT Solutions GmbH;;;81;7;2025-06-03;847566964.0;1175180.0;1;Bonn;53111;MB.Ausschreibungen@hug.de;;nur_name
P&I Personal & Informatik Aktiengesellschaft;M1906_HRB9110;;81;10;2026-06-18;43689182.0;534000.0;0;Wiesbaden;65205;mskomrock@pi-ag.com;http://www.pi-ag.com;handelsregister_exakt
Concat AG;M1103_HRB25326;CONCAT;80;11;2026-05-28;117679357.0;546730.0;1;Bensheim;64625;info@concat.de;http://www.concat.de;handelsregister_exakt
sinc GmbH;V1109_HRB104913;SINC;79;11;2026-05-19;1166706981.0;11233720.0;61;Wiesbaden;65203;info@sinc.de;https://www.sinc.de/;handelsregister_exakt
Alpha Computer Sales GmbH;D2601V_HRB119653;;79;9;2025-12-01;29253547.0;359504.0;0;Ottobrunn;85521;ausschreibung@acsgroup.de;;handelsregister_exakt
MR-Datentechnik Vertriebs- und Service GmbH;D3310V_HRB12920;;77;11;2026-04-13;120494220.0;560280.0;2;Nürnberg;90411;vergabe@mr-daten.de;https://mr-daten.de;handelsregister_exakt
EWE TEL GmbH;P3210_HRB3723;EWE;75;10;2026-03-24;662306358.0;4625928.0;0;Oldenburg;26133;philipp.cordes@ewe.de;http://ewe.de;handelsregister_exakt
ESRI Deutschland GmbH;D2601V_HRB60836;ESRI;74;11;2026-05-28;43552738.0;693000.0;0;Kranzberg;85402;tenders@esri.de;http://www.esri.de;handelsregister_exakt
IS4IT GmbH;D2601V_HRB141845;IS4IT;72;6;2026-02-03;30044841.0;355046.0;0;Oberhaching;82041;info@is4it.de;;handelsregister_exakt
Dedalus HealthCare GmbH;DE172711289;DEDALUS;72;5;2026-04-10;1907372.0;373484.0;0;Bonn;53227;karin.apel@dedalus.com;https://www.dedalus.com/dach/de/;ted_nationalid
CGI Deutschland B.V. & Co. KG;;CGI;70;6;2025-08-12;495904552.0;31328000.0;2;Leinfelden-Echterdingen;70771;janet.fischer@cgi.com;;nur_name
BASIS 1 Softwarevertriebs-GmbH;D3310V_HRB10957;BASIS1;70;10;2026-05-12;52762982.0;385278.0;0;Ottensoos;91242;postfach@basis1.com;https://www.basis1.com;handelsregister_exakt
USU AG;B8534_HRB204848;USU;70;10;2026-05-15;22031576.0;1075969.0;0;Möglingen;71696;sales-operations@usu.com;http://www.usu.de;handelsregister_exakt
1&1 Versatel Deutschland GmbH;R1101_HRB68270;;69;10;2025-11-04;1174809898.0;1540900.0;17;Düsseldorf;40468;bidmanagement@1und1.net;https://www.1und1.net;handelsregister_exakt
SVA GmbH;;SVA;69;10;2026-03-16;365310012.0;549024.0;1;Wiesbaden;65205;Dummy-eMail-eVergabe@fb.hamburg.de;;nur_name
NTT Germany AG & Co. KG;;;69;8;2026-01-27;105478454.0;601485.0;1;Bad Homburg v.d.H.;61352;Isabell.Hofmann@global.ntt;;nur_name
SPIRIT/21 AG;B8534_HRB244681;SPIRIT21;67;7;2024-03-16;3975400.0;540000.0;2;Böblingen;71034;mellinger@spirit21.com;;handelsregister_exakt
pro-com Datensysteme GmbH;B8537_HRB531662;;64;11;2026-03-23;138845821.0;793373.0;3;Eislingen;73354;bp@pro-com.org;https://www.pro-com.org/;handelsregister_exakt
Degen GmbH;B1204_HRB300781;DEGEN-AV;64;9;2026-03-03;35125961.0;338339.0;0;Nürnberg;90411;ausschreibung@degen-av.de;http://www.degen-solutions;handelsregister_exakt
Albacon Systemhaus GmbH;N1206V_HRB6536;ALBACON;62;10;2026-06-23;45927679.0;278900.0;0;Bad Doberan;18209;kuehne@albacon.de;https://albacon.de/;handelsregister_exakt
WBS IT-Service GmbH;U1308_HRB11351;;62;11;2026-02-02;30562921.0;430746.0;0;Leipzig;04109;ausschreibung@wbs-it.de;http://www.wbs-it.de;handelsregister_exakt
Robotron Datenbank-Software GmbH;U1104_HRB1947;ROBOTRON;62;11;2026-04-27;19313870.0;587106.0;1;Dresden;01189;rds@robotron.de;http://www.robotron.de;handelsregister_exakt
INAPA Deutschland GmbH;K1101R_HRB73674;INAPA;61;6;2026-02-18;110410117.0;1369286.0;2;Ettlingen;76275;ausschreibungen.public@inapa.com;http://www.inapa.de;handelsregister_exakt
Prowise GmbH;R3306_HRB91595;PROWISE;61;9;2026-06-16;46668888.0;366870.0;0;Köln;50667;tenderdesk@prowise.com;http://www.prowise.de;handelsregister_exakt
DATAVISION Deutschland Gesellschaft mit beschränkter Haftung;D2601V_HRB56289;DATAVISION;60;11;2026-04-20;471763286.0;532381.0;1;Düsseldorf;40589;ausschreibung@datavision.net;;handelsregister_exakt
Advanced UniByte GmbH;B8534_HRB352782;;59;10;2025-12-02;46169175.0;868351.0;2;Metzingen;72555;ausschreibung@au.de;;handelsregister_exakt
d.velop AG;R2707_R2705_HRB4903;D-VELOP;59;9;2026-06-26;26384666.0;369700.0;4;Gescher;48712;bidmanagement@d-velop.com;https://www.d-velop.de/;handelsregister_exakt
Hewlett-Packard GmbH;B8534_HRB244081;;58;10;2026-02-18;338593136.0;854725.0;0;Ratingen;40880;joerg.kraus@hpe.com;;handelsregister_exakt
NEC Deutschland GmbH;R1102_HRB3689;NEC;58;10;2025-12-17;170683208.0;1428571.0;0;Düsseldorf;40547;andreas.goettlicher@emea.nec.com;http://www.nec.com;handelsregister_exakt
Papyrus Deutschland GmbH & Co. KG;B8535_HRA361191;PAPYRUS;58;7;2023-05-03;143830125.0;1400000.0;1;Ettlingen;76275;dunja.volz@papyrus.com;;handelsregister_exakt
sysGen GmbH;;SYSGEN;58;8;2025-09-30;27191944.0;277146.0;0;Bremen;28327;gnikisch@sysgen.de;;nur_name
Hyrican Informationssysteme Aktiengesellschaft;Y1206_HRB110414;HYRICAN;58;7;2025-06-13;24947599.0;242143.0;0;Kindelbrück;99638;l.hornischer@hyrican.de;;handelsregister_exakt
Care Bridge e.V.;U1206_VR4638;;57;4;2026-03-04;;;0;Bonn;53227;saskia.goetze@care-bridge.de;;handelsregister_exakt
Magellan Netzwerke GmbH;R3306_HRB31514;MAGELLAN-NET;54;9;2024-12-17;41802055.0;671018.0;0;Köln;51147;jstolz@magellan-net.de;;handelsregister_exakt
interface systems GmbH;U1104_HRB16693;INTERFACE-SYSTEMS;53;11;2026-06-16;113926068.0;522200.0;3;Dresden;01277;sales@interface-systems.de;http://interface-systems.de;handelsregister_exakt
arxes-tolina GmbH;F1103R_HRB84278;ARXES-TOLINA;53;7;2022-09-28;94122532.0;277477.0;1;Berlin;13088;robert.kruppa@arxes-tolina.de;;handelsregister_exakt
Siemens Aktiengesellschaft;F1103R_HRB12300;SIEMENS;53;10;2025-12-05;48399817.0;326359.0;0;Nürnberg;90459;norbertr.gaul@siemens.com;;handelsregister_exakt
CANCOM on line GmbH;F1103R_HRB60582;CANCOM;52;7;2023-07-21;979334421.0;9243697.0;6;Berlin;13409;mb.ausschreibungen@cancom.de;;handelsregister_exakt
Bechtle direct GmbH;B8534_HRB732821;BECHTLE;51;7;2026-06-01;57709521.0;384097.0;0;Neckarsulm;74172;tenderdesk.public-de@bechtle.com;http://www.bechtle.com;handelsregister_exakt
Carl Berberich GmbH;B8534_HRB100239;BERBERICH;51;11;2026-05-19;16616158.0;316902.0;2;hofheim-wallau;65719;serena.bauer@berberich.de;http://www.berberich.de;handelsregister_exakt
Delta Computer Products GmbH;X1721R_HRB294AH;DELTACOMPUTER;50;10;2026-06-04;17774475.0;306688.0;0;Reinbek;21465;sales@delta.de;http://delta.de;handelsregister_exakt
NetCom BW GmbH;B8537_HRB510515;NETCOM-BW;49;11;2026-04-10;1004053194.0;3663776.0;0;Ellwangen;73479;breitband@netcom-bw.de;http://netcom-bw.de;handelsregister_exakt
virtual7 GmbH;B8535_HRB521946;VIRTUAL7;49;10;2026-02-24;175822634.0;3729810.0;3;Karlsruhe;76227;sales@virtual7.de;http://virtual7.de;handelsregister_exakt
MR Datentechnik GmbH;;;49;9;2025-01-06;97319209.0;421220.0;2;Würzburg;97076;vergabe@mr-daten.de;;nur_name
Marketing Service Magdeburg KG;W1215_HRA4114;;48;11;2026-05-19;99180739.0;583111.0;0;Magdeburg;39104;michael.dauksch@biberpost.de;;handelsregister_exakt
d-fine GmbH;M1201_HRB48103;D-FINE;47;10;2026-06-23;6292859935.0;7000000.0;2;Frankfurt am Main;60313;tenders@d-fine.de;https://www.d-fine.com/;handelsregister_exakt
BTC Business Technology Consulting AG;P3210_HRB4717;;47;10;2026-03-09;66311320.0;1933257.0;3;Oldenburg;26121;vertrieb-energie@btc-ag.com;https://www.vertrieb@btc-ag.com;handelsregister_exakt
arriva gmbh;B1204_HRB6484;ARRIVA-SERVICE;47;10;2026-03-23;63230640.0;931275.0;0;Singen;78224;Ausschreibung@arriva-service.de;;handelsregister_exakt
BFE Studio und Medien Systeme GmbH;T2304V_HRB6097;BFE;47;11;2026-05-07;24850805.0;541260.0;0;Mainz;55124;Eingang_Proab@bfe.tv;http://bfe.tv;handelsregister_exakt
pdv-systeme Sachsen GmbH;U1104_HRB1632;PDV-SACHSEN;46;11;2026-06-22;60095954.0;534094.0;5;Dresden;01109;info@pdv-sachsen.net;https://www.pdv-sachsen.net/;handelsregister_exakt
Juris GmbH;R2404_R2407_HRB892;JURIS;46;10;2026-06-26;30825797.0;759219.0;0;Saarbrücken;66121;ausschreibungen@juris.de;https://www.juris.de;handelsregister_exakt
allpremio Handel GmbH;R1101_HRB79136;ALLPREMIO;46;7;2026-06-02;21460431.0;215000.0;1;Düsseldorf;40549;ausschreibung@allpremio.de;http://www.allpremio.de;handelsregister_exakt
SYSTEMA Gesellschaft für angewandte Datentechnik mbH;G1312_HRB5996;SYSTEMA-ONLINE;45;11;2026-06-18;65685077.0;315765.0;2;Potsdam;14482;ausschreibungen@systema-online.de;http://www.systema-online.de;handelsregister_exakt
Printion GmbH;M1103_HRB89421;PRINTION;45;8;2023-12-01;43071857.0;393503.0;0;Griesheim;64347;vergabe@printion.de;;handelsregister_exakt
CGI Deutschland Ltd. & Co. KG;B8534_HRA732235;CGI;44;10;2025-01-27;712387571.0;3500000.0;0;Eschborn;65760;volker.schmidt@cgi.com;https://www.cgi.com/de/de;handelsregister_exakt
Igepa Großhandel GmbH;W1215_HRB207855;IGEPAGROUP;44;9;2025-12-16;22043068.0;449876.0;0;Dieburg;64807;rfischer@igepagroup.com;http://www.igepa.de;handelsregister_exakt
Vision iT media GmbH;B8534_HRB17899;ITMEDIACONSULT;44;9;2024-11-05;19609205.0;343808.0;0;Züsch;54422;vertrieb@itmediaconsult.de;;handelsregister_exakt
Open Text Software GmbH;D2601V_HRB179298;OPENTEXT;44;10;2026-06-19;7766284.0;475283.0;0;Grasbrunn;85630;publictenderdach@opentext.com;https://hzd.hessen.de;handelsregister_exakt
mkd-kurier gmbh;R3103_HRB1682;MKD-KURIER;44;8;2026-06-22;366000.0;366000.0;0;Düren;52355;w.menzel@mkd-kurier.de;http://www.mkd-kurier.de;handelsregister_exakt
NTT DATA Deutschland GmbH;D2601V_HRB51846;NTTDATA;43;9;2025-10-24;7570086906.0;22100000.0;121;München;80807;publicservicesNTTDATADE@nttdata.com;https://de.nttdata.com/;handelsregister_exakt
SecuNet Security Networks GmbH;R2503_HRB11682;SECUNET;43;10;2026-04-16;250129216.0;415520.0;2;Essen;45138;beispiel@secunet.de;;handelsregister_exakt
Horn GmbH;B8535_HRB105827;HORN-GMBH;43;10;2025-09-30;86304635.0;718553.0;0;Stutensee;76297;vergabemanagement@horn-gmbh.com;http://horn-gmbh.com;handelsregister_exakt
MEDIA Logistik GmbH;R3306_HRB59518;;43;11;2026-01-22;24879067.0;785672.0;0;Dresden;01129;m.stenzel@media-logistik.de;;handelsregister_exakt
EVIDEN Germany GmbH;DE359068690;EVIDEN;43;5;2026-04-22;22319307.0;649130.0;2;Düsseldorf;40547;joerg.2.wehling@atos.net;https://eviden.com/;ted_nationalid
top itservices AG;D2601V_HRB129233;TOP-ITSERVICES;43;9;2025-12-20;13333355.0;377500.0;6;Unterhaching;82008;Ausschreibungen@top-itservices.com;http://www.top.itservices.com;handelsregister_exakt
Scheer GmbH & Co. KG.;B1204_HRA370589;SCHEER-GROUP;42;10;2026-06-24;49963338.0;864000.0;1;Saarbrücken;66123;info@scheer-group.com;http://scheer-management.com/;handelsregister_exakt
DATAGROUP Consulting Services GmbH;T2304V_HRB44217;DATAGROUP;42;8;2025-03-20;46266289.0;221000.0;0;Mainz;55129;michael.bierikoven@datagroup.de;;handelsregister_exakt
H & G Hansen & Gieraths EDV Vertriebsgesellschaft mbH.;R3201_HRB4027;;42;8;2026-06-01;36153301.0;745902.0;2;Bonn;53111;bid@hug.de;https://www.hug.de;handelsregister_exakt
Verlag C.H. Beck oHG;D2601V_HRA48045;BECK;42;8;2026-03-26;31105572.0;1011525.0;1;München;80801;Rainer.Hohdorf@beck.de;www.saarland.de/;handelsregister_exakt
Postcon Konsolidierungs GmbH;;POSTCON;41;6;2023-09-08;189735170.0;3679671.0;0;Berlin;14050;ausschreibung@postcon.de;;nur_name
Studio Hamburg MCI GmbH;K1101R_HRB70454;MCI;41;9;2025-11-25;111356661.0;4000000.0;0;Hamburg;22045;info@mci.de;http://www.mci.de;handelsregister_exakt
VS Vereinigte Spezialmöbelfabriken GmbH & Co. KG.;B8535_HRA560116;;41;9;2025-07-29;93139320.0;500000.0;0;Tauberbischofsheim;97941;ausschreibung@vs-moebel.de;http://www.vs.de;handelsregister_exakt
Kupper IT GmbH;U1308_HRB19970;KUPPER-IT;41;10;2026-06-01;51943694.0;457231.0;0;Leipzig;04103;mandy.ulrich@kupper-it.com;;handelsregister_exakt
Sthree GmbH;M1201_HRB78875;STHREE;40;8;2025-12-20;132147147.0;2797050.0;11;Frankfurt am Main;60322;publicsector@sthree.com;https://www.sthree.com/de-de/;handelsregister_exakt
B1 Systems GmbH;D5701V_HRB3537;B1-SYSTEMS;40;8;2026-06-22;46715694.0;365029.0;0;Vohburg;85088;subskriptionen@b1-systems.de;http://www.b1-systems.de;handelsregister_exakt
AirITSystems Gesellschaft mit beschränkter Haftung;P2305_HRB59800;AIRITSYSTEMS;40;9;2025-11-11;24893242.0;443466.0;0;Langenhagen;30855;info@airitsystems.de;https://www.airitsystems.de;handelsregister_exakt
RAID Media Systems GmbH;U1206_HRB16895;RAIDMEDIA;40;11;2026-06-22;14047862.0;271430.0;0;Thalheim;09380;vertrieb@raidmedia.com;https://www.raidmedia.com;handelsregister_exakt
Enterprise Communications & Services GmbH;U1308_HRB29773;;40;8;2025-04-07;5896841.0;256075.0;0;Leipzig;04159;info@ecs-deutschland.de;;handelsregister_exakt
CloudFerro S.A.;7010468205;CLOUDFERRO;39;1;2025-02-03;7176000000.0;63000000.0;0;Warsaw;00-511 Warszawa;info@cloudferro.com;https://www.cloudferro.com;ted_nationalid
VSHN AG;CHE-275.566.226;VSHN;39;2;2025-02-03;6546000000.0;56000000.0;0;Zürich;8005 Zürich;info@vshn.ch;https://www.vshn.ch;ted_nationalid
Allgeier Experts Pro GmbH;D2601V_HRB123035;ALLGEIER-EXPERTS;39;6;2022-06-28;416857879.0;2272800.0;3;München;81679;zbtm@allgeier-experts.com;;handelsregister_exakt
SHD System-Haus-Dresden GmbH;U1104_HRB329;;39;9;2026-06-16;55254075.0;524331.0;0;Dresden;01159;ausschreibungen@shd-online.de;http://www.shd-online.de;handelsregister_exakt
Nexus Deutschland GmbH;B1204_HRB602014;NEXUS-AG;39;8;2026-03-19;17695594.0;1120500.0;0;Donaueschingen;78166;vertrieb@nexus-ag.de;http://www.nexus-ag.de;handelsregister_exakt
ThinkRED West GmbH;;THINKRED;39;4;2023-09-25;15164055.0;548302.0;0;Bochum;44801;ausschreibungen@thinkred.de;;nur_name
Rohde & Schwarz GmbH & Co. Kommanditgesellschaft;D2601V_HRA16270;ROHDE-SCHWARZ;39;11;2026-05-13;8122292.0;325134.0;0;München;81671;sales.germany@rohde-schwarz.com;http://www.rohde-schwarz.com;handelsregister_exakt
netconnect GmbH;K1101R_HRB68850;NETCONNECT-GMBH;39;5;2026-05-26;;;0;Hamburg;22399;info@netconnect-gmbh.de;https://netconnect-gmbh.de/;handelsregister_exakt
Telecom Italia Sparkle S.p.A.;05305181009;TISPARKLE;38;1;2025-02-03;7176000000.0;63000000.0;0;Roma;00125 Roma;info@tisparkle.com;https://www.tisparkle.com;ted_nationalid
Q_PERIOR AG;D2601V_HRB140669;Q-PERIOR;38;9;2024-07-23;539634450.0;3354775.0;5;München;80802;ausschreibungen@q-perior.com;;handelsregister_exakt
