Code;Art;Kriterium;Hauptgruppe;Gruppe;Gewichtung;Gewicht Gruppe;Gewicht Hauptgruppe;Prozent
A.1.2.8;Ausschluss;Daisy-Chain Anschluß (Displayport oder USB-C);1. Technische Anforderungen;1.2 Anschlüsse;;;;
A.1.3.1;Ausschluss;Neugeräte aus Serienproduktion;1. Technische Anforderungen;1.3 Allgemeine Anforderungen;;;;
A.2.1.1;Ausschluss;Energiemanagement: Display Power Management System VESA DPMS oder vergleichbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.2;Ausschluss;Energiemanagement: Der Stand-By Zustand (Bereitschaftsmodus/Sleep-Mode) wird nach spätestens 30 Minuten Inaktivität automatisch hergestellt;2. Zusätzliche Leistungen;2.1 Management;;;;
B.2.1.3;Bewertung;Service-Identifikationsnr. ist im OSD hinterlegt, und per WMI auslesbar;2. Zusätzliche Leistungen;2.1 Management;10,0;;;
B.2.1.4;Bewertung;Firmwareupdate durch den Auftraggeber möglich;2. Zusätzliche Leistungen;2.1 Management;10,0;;;
B.2.1.5;Bewertung;"Kostenfreie Management Software, Softwarefunktionalität:
 • mind. lauffähig unter Win11
 • Kompatibel zu allen ausgeschriebenen Monitoren
 • Skriptunterstützung für den Rollout von Einstellungen.
 • Grundeinstellungen: Helligkeit & Kontrast; Auto-Restore
 • KVM-Verwaltung  
 • Multi-Display-Unterstützung
 • Möglichkeit zur Zonierung des Bildschirminhaltes / Feste Skalierung von Anwendungsfenstern ";2. Zusätzliche Leistungen;2.1 Management;20,0;;;
A.3.1.1;Ausschluss;"Das Gerät erfüllt vollständig die  Anforderungen des aktuellen Energy Star Version 8.x für Computerbildschirme (EU-Richtlinie 2009/789/EG Anhang C Teil II).*
Nachweise: Herstellererklärung und der Bieter verpflichtet sich spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht oder Dokument gemäß Testvorschrift des aktuellen Energy Star oder ein Dokument, das folgende Angaben enthält, vo";3. Qualität/ Sicherheit/ Umwelt;3.1 Energieverbrauch;;;;
A.3.2.1;Ausschluss;"GS-Zeichen; CE; WEEE; EU-RoHS;
Nachweis: Zertifikate beilegen";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
A.3.2.2;Ausschluss;"Erfüllung der aktuellen Anforderungen an das TCO 10-Label
Nachweis: Herstellererklärung und der Bieter legt spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht vor. Alternativ: Nachweis über das TCO Displays bzw. TCO Certified Displays Label.";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
A.3.2.3;Ausschluss;"Erfüllung von Umweltkriterien analog zur EPEAT-Zertifizierung: Bitte geben Sie an, ob die Kriterien entsprechend der Norm ""EPEAT Gold"" erfüllt werden (alle mit ""R"" markierten und mindestens 75% der mit ""O"" markierten Kriterien). Fügen Sie als Nachweis bitte entweder eine Zertifizierung nach EPEAT Gold bei oder einen gleichwertigen Nachweis zur Erfüllung der genannten Kriterien. Da sich die EPEAT-K";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
B.3.2.4;Bewertung;"Low Blue Light Filter, TÜV zertifiziert 
Nachweis: Der Bieter legt mit dem Angebot ein Zertifikat vor";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;30,0;;;
B.3.2.5;Bewertung;"Flimmerfrei, TÜV zertifiziert 
Nachweis: Der Bieter legt mit dem Angebot ein Zertifikat vor";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;30,0;;;
A.1.1.1;Ausschluss;"27"" Flachbildschirm, sichtbare Bildschirmdiagonale ≥ 68 cm";1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.2;Ausschluss;Entspiegeltes/ mattes Display;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.3;Ausschluss;Paneltyp IPS (In-Plane Switching) oder VA (Vertical Alignment);1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.4;Ausschluss;Native Auflösung 3.840 x 2.160 bei ≥ 100 Hz;1. Technische Anforderungen;1.1 Eigenschaften;;;;
B.1.1.5;Bewertung;Bildwiederholfrequenz ≥ 120 Hz;1. Technische Anforderungen;1.1 Eigenschaften;20,0;;;
A.1.1.6;Ausschluss;Seitenverhältnis 16:9;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.7;Ausschluss;Farbskala ≥ 99 % sRGB;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.8;Ausschluss;Farbtiefe ≥ 1.06 Millarden Farben (Mind. 10 Bit);1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.9;Ausschluss;"Das Display erfüllt die ergonomischen Eigenschaften nach der EN ISO 9241 und hält mindestens Pixelfehlerklasse 1 ein.
Nachweis: Herstellererklärung und der Bieter legt spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht vor.";1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.10;Ausschluss;Reaktionszeit (Grau zu Grau) max. 5 ms;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.11;Ausschluss;Kontrast (Standard) min. 1000:1;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.12;Ausschluss;Helligkeit (Standard) min. 300 cd/m²;1. Technische Anforderungen;1.1 Eigenschaften;;;;
B.1.1.13;Bewertung;Helligkeit (Standard) ≥ 350 cd/m²;1. Technische Anforderungen;1.1 Eigenschaften;20,0;;;
A.1.1.14;Ausschluss;Blickwinkel (horizontal x vertikal) von min. 178° x 178°;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.15;Ausschluss;Höhenverstellbar mind. 100 mm;1. Technische Anforderungen;1.1 Eigenschaften;;;;
B.1.1.16;Bewertung;Höhenverstellbar ≥ 150 mm;1. Technische Anforderungen;1.1 Eigenschaften;20,0;;;
A.1.1.17;Ausschluss;Neigbar -5° ≥ 20°;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.18;Ausschluss;Drehbar vom Querformat ins Hochformat (Pivotfunktion);1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.19;Ausschluss;Vesa-Halterung nach Standard MIS-D (100 mm);1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.20;Ausschluss;Ein- und Ausschalter, durch dessen Betätigung das Gerät min. in den Schein-Aus-Zustand versetzt werden kann;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.21;Ausschluss;Netzteil in Monitorgehäuse integriert;1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.22;Ausschluss;Gehäuse mit Vorrichtung zur Diebstahlsicherung (Kensington oder vergleichbar);1. Technische Anforderungen;1.1 Eigenschaften;;;;
A.1.1.23;Ausschluss;Herstellereigene optionale Soundbar erhältlich, Alternativ Lautsprecher integriert;1. Technische Anforderungen;1.1 Eigenschaften;;;;
B.1.1.24;Bewertung;"Optional Hersteller eigener Monitorfuß zur Befestigung des Micro PC ""D"" lieferbar -";1. Technische Anforderungen;1.1 Eigenschaften;20,0;;;
A.1.2.1;Ausschluss;DisplayPort mind. 1.4 inkl. Anschlusskabel;1. Technische Anforderungen;1.2 Anschlüsse;;;;
A.1.2.2;Ausschluss;HDMI mind. 2.0;1. Technische Anforderungen;1.2 Anschlüsse;;;;
A.1.2.3;Ausschluss;Integrierter USB-Hub mit min. 4 Downstream-Anschlüssen USB-3.2;1. Technische Anforderungen;1.2 Anschlüsse;;;;
A.1.2.4;Ausschluss;USB-C Anschluß m. DP-Alt-Mode mind. 1.4 / 5Gbit/s, mind.90 Watt PD inkl. Anschlusskabel;1. Technische Anforderungen;1.2 Anschlüsse;;;;
B.1.2.5;Bewertung;USB-C Anschluß m. DP-Alt-Mode mind. 1.4 / 5Gbit/s, ≥100 Watt PD inkl. Anschlusskabel;1. Technische Anforderungen;1.2 Anschlüsse;20,0;;;
A.1.2.6;Ausschluss;Ethernet-Anschluß, RJ-45, mind. 10/100/1000 Mbit/s;1. Technische Anforderungen;1.2 Anschlüsse;;;;
B.1.2.7;Bewertung;Daisy-Chain Anschluß (Displayport oder USB-C);1. Technische Anforderungen;1.2 Anschlüsse;20,0;;;
A.1.3.1;Ausschluss;Neugeräte aus Serienproduktion;1. Technische Anforderungen;1.3 Allgemeine Anforderungen;;;;
A.1.3.2;Ausschluss;MAC-Adressen-Pass-Through-Funktion, WOL, für die ausgeschriebenen Notebooks;1. Technische Anforderungen;1.3 Allgemeine Anforderungen;;;;
A.2.1.1;Ausschluss;Energiemanagement: Display Power Management System VESA DPMS oder vergleichbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.2;Ausschluss;Energiemanagement: Der Stand-By Zustand (Bereitschaftsmodus/Sleep-Mode) wird nach spätestens 30 Minuten Inaktivität automatisch hergestellt;2. Zusätzliche Leistungen;2.1 Management;;;;
B.2.1.3;Bewertung;Service-Identifikationsnr. ist im OSD hinterlegt, und per WMI auslesbar;2. Zusätzliche Leistungen;2.1 Management;10,0;;;
B.2.1.4;Bewertung;Firmwareupdate durch den Auftraggeber möglich;2. Zusätzliche Leistungen;2.1 Management;10,0;;;
B.2.1.5;Bewertung;"Kostenfreie Management Software, Softwarefunktionalität:
 • mind. lauffähig unter Win11
 • Kompatibel zu allen ausgeschriebenen Monitoren
 • Skriptunterstützung für den Rollout von Einstellungen.
 • Grundeinstellungen: Helligkeit & Kontrast; Auto-Restore
 • KVM-Verwaltung  
 • Multi-Display-Unterstützung
 • Möglichkeit zur Zonierung des Bildschirminhaltes / Feste Skalierung von Anwendungsfenstern ";2. Zusätzliche Leistungen;2.1 Management;20,0;;;
A.3.1.1;Ausschluss;"Das Gerät erfüllt vollständig die  Anforderungen des aktuellen Energy Star Version 8.x für Computerbildschirme (EU-Richtlinie 2009/789/EG Anhang C Teil II).*
Nachweise: Herstellererklärung und der Bieter verpflichtet sich spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht oder Dokument gemäß Testvorschrift des aktuellen Energy Star oder ein Dokument, das folgende Angaben enthält, vo";3. Qualität/ Sicherheit/ Umwelt;3.1 Energieverbrauch;;;;
A.3.2.1;Ausschluss;"GS-Zeichen; CE; WEEE; EU-RoHS;
Nachweis: Zertifikate beilegen";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
A.3.2.2;Ausschluss;"Erfüllung der aktuellen Anforderungen an das TCO 9-Label
Nachweis: Herstellererklärung und der Bieter legt spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht vor. Alternativ: Nachweis über das TCO Displays bzw. TCO Certified Displays Label.";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
A.3.2.3;Ausschluss;"Erfüllung von Umweltkriterien analog zur EPEAT-Zertifizierung: Bitte geben Sie an, ob die Kriterien entsprechend der Norm ""EPEAT Gold"" erfüllt werden (alle mit ""R"" markierten und mindestens 75% der mit ""O"" markierten Kriterien). Fügen Sie als Nachweis bitte entweder eine Zertifizierung nach EPEAT Gold bei oder einen gleichwertigen Nachweis zur Erfüllung der genannten Kriterien. Da sich die EPEAT-K";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;;;;
B.3.2.4;Bewertung;"Low Blue Light Filter, TÜV zertifiziert 
Nachweis: Der Bieter legt mit dem Angebot ein Zertifikat vor";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;30,0;;;
B.3.2.5;Bewertung;"Flimmerfrei, TÜV zertifiziert 
Nachweis: Der Bieter legt mit dem Angebot ein Zertifikat vor";3. Qualität/ Sicherheit/ Umwelt;3.2 Zertifizierungen;30,0;;;
